recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,2540735161.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,1920522864.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,2860481249.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,3520513172.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,3408241429.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,2607153588.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,2447093832.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,2245435693.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,3700537664.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,3102652643.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,1852216299.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,3397065039.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,2877422799.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,2398774518.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,3244330934.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,2992847769.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,3375001266.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,3441000968.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,1901942128.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,2820374943.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,2248169164.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,3370996629.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,3411838831.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,3388309802.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,2390583917.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,2008728041.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,3419084554.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,1658076654.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,2112961000.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2286355605.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2286570077.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2798290475.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2722476286.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2838563369.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2111836884.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,3772910889.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2753185485.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,2514779303.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,3133970333.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,2910451747.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,2177932847.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,2273520360.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,3015190455.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,3210952146.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,2861002729.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,1804468613.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,2400653188.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,3599658128.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,3409552728.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,3452071687.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,2703746983.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,2465590793.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,2424732656.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,1692195049.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,2861768092.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,2310848993.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,2164527958.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,1854085441.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,3294443282.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,3685756647.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,3447145349.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,1781887255.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,2570337155.000000,0.8,0.81,1,2,30,1000,2147483647
