recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-1,-1,-1,2761683936.000000,1.576655,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,3748043931.000000,1.444620,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,1810968222.000000,1.477872,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,1707124529.000000,2.023516,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,2434042926.000000,1.341250,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,2186620288.000000,1.702828,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,2255033816.000000,1.367487,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,3724937963.000000,2.043800,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2125244761.000000,1.689224,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2440503725.000000,1.181115,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2056989432.000000,1.567354,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2159587957.000000,1.543598,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,3057253547.000000,2.068253,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,3168201164.000000,1.569362,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2306285721.000000,1.171032,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2492955612.000000,1.682279,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,3141966416.000000,1.246077,0.8,0.81,1,2,30,1000,2147483647
-1,-1,-1,2341331061.000000,3.700141,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,1684321796.000000,1.855336,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,2384802960.000000,2.127873,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,2993897561.000000,1.374249,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,2425326841.000000,1.901551,0.7,0.71,1,2,30,1000,2147483647
-1,-1,-1,2588885914.000000,1.715926,0.7,0.71,1,2,30,1000,2147483647
